date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-04 09:30:49,USEmbassyBKK,USEmbassyBKK,0,8,16,"“At USAID, we are working to advance the U.S. Government’s vision for a free and open Indo-Pacific by leveling the playing field for trade.” - Dep. Administrator @USAIDBGlick of @USAID at #IndoPacificBizForum",,@USAIDBGlick @USAID,#IndoPacificBizForum,1191286667404967938,https://twitter.com/USEmbassyBKK/status/1191286667404967938
2019-11-04 09:30:35,USEmbassyBKK,,0,2,2,"“USAID ดำเนินงานเพื่อยกระดับวิสัยทัศน์ของสหรัฐฯ สำหรับอินโด-แปซิฟิกที่เสรีและเปิดกว้าง โดยสร้างความเป็นธรรมในสนามการค้า” - @USAIDBGlick รองผู้บริหาร @USAID #IndoPacificBizForum",,@USAIDBGlick @USAID,#IndoPacificBizForum,1191286608705638401,https://twitter.com/USEmbassyBKK/status/1191286608705638401
2019-11-04 09:28:31,USEmbassyBKK,,0,2,1,"US ญี่ปุ่น และออสเตรเลียประกาศแนวคิด #BlueDotNetwork เพื่อยกระดับการลงทุนและให้การรับรองโครงการด้านโครงสร้างพื้นฐานที่มีคุณภาพสูงในระดับสากล สหรัฐฯ ยินดีที่ได้ร่วมงานกับพันธมิตร เช่นธนาคาร #JBIC ซึ่งมีประสบการณ์และประวัติการลงทุนที่มีประสิทธิภาพสูง #IndoPacificBizForum",,,#BlueDotNetwork #JBIC #IndoPacificBizForum,1191286090226782208,https://twitter.com/USEmbassyBKK/status/1191286090226782208
2019-11-04 09:24:38,USEmbassyBKK,USEmbassyBKK,0,3,2,"""Partnerships in the Indo-Pacific"" panel focuses on how governments are helping identify bankable projects and catalyze private sector investment for #IndoPacific’s development needs. Participants include @dbohigian ExcVP @opicgov and @USAIDBGlick #IndoPacificBizForum",,@DBohigian @opicgov @USAIDBGlick,#IndoPacific #IndoPacificBizForum,1191285110659616768,https://twitter.com/USEmbassyBKK/status/1191285110659616768
2019-11-04 09:23:57,USEmbassyBKK,,0,1,2,"#IndoPacific มีความต้องการด้านการพัฒนาอย่างมหาศาล การอภิปราย ""Partnerships in the Indo-Pacific"" จะเน้นวิธีการที่รัฐบาลช่วยค้นหาโครงการที่มีโอกาสรับเงินกู้และกระตุ้นการลงทุนจากภาคเอกชน ผู้เข้าร่วม: @dbohigian รองกก.ผจก. @opicgov และ @USAIDBGlick #IndoPacificBizForum",,@DBohigian @opicgov @USAIDBGlick,#IndoPacific #IndoPacificBizForum,1191284940224155649,https://twitter.com/USEmbassyBKK/status/1191284940224155649
2019-11-04 09:18:21,USEmbassyBKK,USEmbassyBKK,0,6,6,"The U.S. Government is employing a whole-of-government approach to unlock private sector-led growth, including through increased engagement by dynamic American companies in the #IndoPacific region. Learn more: https://www.usaid.gov/indo-pacific-vision/econ",,,#IndoPacific,1191283529394442240,https://twitter.com/USEmbassyBKK/status/1191283529394442240
2019-11-04 09:18:07,USEmbassyBKK,,0,2,2,"สหรัฐฯ กำลังใช้ความร่วมมือจากทุกภาคส่วนของรัฐบาลปลดล็อกการเติบโตที่นำโดยภาคเอกชน และยังจูงใจให้บริษัทอเมริกันที่มีศักยภาพเข้ามามีส่วนร่วมในภูมิภาค #อินโดแปซิฟิก มากขึ้นด้วย อ่านข้อมูลเพิ่มเติมที่นี่ https://www.usaid.gov/indo-pacific-vision/econ",,,,1191283472922337280,https://twitter.com/USEmbassyBKK/status/1191283472922337280
2019-11-04 09:11:15,USEmbassyBKK,EximBankUS,0,1,7,".@SecretaryRoss, คิมเบอร์ลี่ รี้ด @EximBankUS, คีธ แครช @State_E, อุปทูต @usembassytokyo bassytokyo โจเซฟ ยัง, Tatsuya Terazawa ที่ปรึกษาพิเศษ และ Atsuo Kuroda ประธาน #NEXI เข้าร่วมการลงนามข้อตกลงการร่วมให้สินเชื่อระหว่าง EXIM และ NEXI",,@SecretaryRoss @EximBankUS @State_E @usembassytokyo,#NEXI,1191281745439551488,https://twitter.com/USEmbassyBKK/status/1191281745439551488
2019-11-04 08:51:44,USEmbassyBKK,USEmbassyBKK,0,2,6,"Vietnam’s Minister of Trade and Industry Trần Tuấn Anh joined SVP of @USChamber, CEO of @TheAESCorp David Stone and @aes_eurasiaPres to approve 2.2 gigawatt combined cycle gas turbine power plant in Sep 2019, representing an investment of $1.5 billion. #IndoPacificBizForum",,@USChamber @TheAESCorp @AES_EurasiaPres,#IndoPacificBizForum,1191276832567382017,https://twitter.com/USEmbassyBKK/status/1191276832567382017
2019-11-04 08:50:19,USEmbassyBKK,,0,1,3,"ในกย. 62 Trần Tuấn Anh รมต.การค้าและอุตสาหกรรมเวียดนาม ร่วมกับ @USChamber, David Stone CEO @TheAESCorp และ @AES_EurasiaPres อนุมัติโครงการโรงผลิตไฟฟ้าพลังความร้อนร่วมแบบใช้กังหันก๊าซกำลังการผลิต 2.2 กิกะวัตต์ มูลค่าการลงทุน 1,500 ล้านUSD #IndoPacificBizForum",,@USChamber @TheAESCorp @AES_EurasiaPres,#IndoPacificBizForum,1191276475896385537,https://twitter.com/USEmbassyBKK/status/1191276475896385537
2019-11-04 08:23:58,USEmbassyBKK,,0,3,2,".@Boeing จะปล่อยดาวเทียม @kacific ขึ้นสู่วงโคจรในวันที่ 15 ธค.นี้ ซึ่งจะทำให้ประเทศที่มีอาณาเขตห่างไกลอย่างอินโดนีเซีย ฟิลิปปินส์ และหมู่เกาะแปซิฟิกสามารถเข้าถึงอินเทอร์เน็ตราคาถูกคุณภาพสูง ได้เชื่อมต่อและมีส่วนร่วมในโลกดิจิทัล #IndoPacificBizForum",,@Boeing @kacific,#IndoPacificBizForum,1191269845486075906,https://twitter.com/USEmbassyBKK/status/1191269845486075906
2019-11-04 08:10:54,USEmbassyBKK,USEmbassyBKK,0,4,4,"“Hosting the #IndoPacificBizForum highlights @USTDA continued cooperation with the best of U.S. industry and reaffirms our commitment to the future of this vital part of the world.” - Thomas R. Hardy, USTDA Acting Director",,@USTDA,#IndoPacificBizForum,1191266556090580992,https://twitter.com/USEmbassyBKK/status/1191266556090580992
2019-11-04 08:10:29,USEmbassyBKK,,0,1,2,"“การเป็นเจ้าภาพจัดการประชุม #IndoPacificBizForum แสดงให้เห็นถึงความร่วมมืออย่างต่อเนื่องกับอุตสาหกรรมอเมริกันแนวหน้า และเน้นย้ำความมุ่งมั่นในการร่วมสร้างอนาคตให้ภูมิภาคที่สำคัญยิ่งแห่งหนึ่งของโลก” - โธมัส อาร์. ฮาร์ดี รักษาการผอ. @USTDA",,@USTDA,#IndoPacificBizForum,1191266453644660736,https://twitter.com/USEmbassyBKK/status/1191266453644660736
2019-11-04 07:59:45,USEmbassyBKK,USEmbassyBKK,0,4,3,"Thomas Hardy Acting Dir. @USTDA joins panel on Infrastructure Development in the Indo-Pacific. Over $20T in infrastructure investment is estimated through 2030, to meet the growing needs of #IndoPacific. #IndoPacificBizForum",,@USTDA,#IndoPacific #IndoPacificBizForum,1191263749056782336,https://twitter.com/USEmbassyBKK/status/1191263749056782336
2019-11-04 07:57:47,USEmbassyBKK,,0,0,4,"Thomas Hardy @USTDA ร่วมอภิปราย Infrastructure Development in the #IndoPacific คาดว่าปี 2573 จะมีการลงทุนด้านโครงสร้างพื้นฐานกว่า 20 ล้านล้านUSD เพื่อตอบสนองความต้องการที่มากขึ้นของ #IndoPacific #IndoPacificBizForum https://www.youtube.com/user/USEmbassyBangkok/live",,@USTDA,#IndoPacific #IndoPacific #IndoPacificBizForum,1191263255781470209,https://twitter.com/USEmbassyBKK/status/1191263255781470209
2019-11-04 07:48:43,USEmbassyBKK,,0,0,2,"#WarburgPincus ลงทุนเงินจำนวน 250 ล้านดอลลาร์สหรัฐในบริษัท Converge ICT ที่ฟิลิปปินส์ เพื่อขยายบริการบรอดแบนด์ที่มีคุณภาพในภูมิภาคต่างๆ ฟิลิปปินส์ที่ยังไม่มีบริการและมีบริการน้อยกว่าความต้องการใช้งาน #IndoPacificBizForum https://th.usembassy.gov/th/ipbf-factsheet-th/",,,#WarburgPincus #IndoPacificBizForum,1191260973710970880,https://twitter.com/USEmbassyBKK/status/1191260973710970880
2019-11-04 07:45:12,USEmbassyBKK,,0,0,2,".@aprenergy ในรัฐฟลอริดาลงทุนในโรงผลิตไฟฟ้ากำลังผลิต 300 เมกะวัตต์ ที่ท่าเรือเมืองธากา และจะทำให้เกิดตำแหน่งงานที่ยั่งยืนในบังกลาเทศกว่า 100 ตำแหน่ง #IndoPacificBizForum",,@aprenergy,#IndoPacificBizForum,1191260087538421763,https://twitter.com/USEmbassyBKK/status/1191260087538421763
2019-11-04 07:11:58,USEmbassyBKK,USEmbassyBKK,0,5,5,"“The economic growth and development we are seeing across the region will continue to require diverse and reliable energy sources that can meet the demands of the region’s economies and its people.” - PDAS Kenneth Humphreys, Department of @Energy at #IndoPacificBizForum",,@ENERGY,#IndoPacificBizForum,1191251724867997696,https://twitter.com/USEmbassyBKK/status/1191251724867997696
